title,author,year,type,venue,field
Which App is Going to Die? A Framework for App Survival Prediction With Multitask Learning,Zhang et al.,2020 ,journal,IEEE Transactions on Mobile Computing,Distributed Computing
Ah-cid: A tool to automatically detect human-centric issues in app reviews,Mathews et al.,2021 ,conference,ICSOFT,Software engineering
An Exploratory Analysis of Human-centric Issues in Parking Solutions Using Surveys and Mobile Parking App Reviews,Li et al.,2021 ,conference,OZCHI,Human-centred computing
Automatically Matching Bug Reports With Related App Reviews,Haering et al.,2021 ,conference,ICSE,Software engineering
Automating App Review Response Generation Based on Contextual Knowledge,Gao et al.,2021 ,journal,TOSEM,Computer Software
CHAMP: Characterizing Undesired App Behaviors from User Comments Based on Market Policies,Hu et al.,2021 ,conference,ICSE,Software engineering
Classifying User Requirements from Online Feedback in Small Dataset Environments using Deep Learning,Mekala et al.,2021 ,conference,RE,Software engineering
Exploiting Natural Language Structures in Software Informal Documentation,Di Sorbo et al.,2021 ,journal,TSE,Computer Software
Exploiting the Unique Expression for Improved Sentiment Analysis in Software Engineering Text,Sun et al.,2021 ,conference,ICPC,Software engineering
Featcompare: Feature comparison for competing mobile apps leveraging user reviews,Assi et al.,2021 ,journal,EMSE,Computer Software
Finding the Needle in a Haystack: On the Automatic Identification of Accessibility User Reviews,AlOmar et al.,2021 ,conference,CHI,Human-centred computing
Generating Functional Requirements Based on Classification of Mobile Application User Reviews,Panthum and Senivongse,2021 ,conference,SERA,Software engineering
How Should I Improve the UI of My App?: A Study of User Reviews of Popular Apps in the Google Play,Chen et al.,2021 ,journal,TOSEM,Computer Software
Identifying Key Features from App User Reviews,Wu et al.,2021 ,conference,ICSE,Software engineering
Investigating the criticality of user-reported issues through their relations with app rating,Di Sorbo et al.,2021 ,journal,Journal of Software: Evolution and Process,Computer Software
RE-BERT: automatic extraction of software requirements from app reviews using BERT language model,de Araujo and Marcacini,2021 ,conference,SAC,Applied computing
The Rise and Fall of COVID-19 Contact-Tracing Apps: when NFRs Collide with Pandemic,Bano et al.,2021 ,conference,RE,Software engineering
The Role of User Reviews in App Updates: A Preliminary Investigation on App Release Notes,Wang et al.,2021 ,conference,APSEC,Software engineering
Too Many User-Reviews! What Should App Developers Look at First?,Noei et al.,2021 ,journal,TSE,Computer Software
Towards De-Anonymization of Google Play Search Rank Fraud,Rahman et al.,2021 ,journal,IEEE Transactions on Knowledge and Data Engineering,Data Format
User Review-Based Change File Localization for Mobile Applications,Zhou et al.,2021 ,journal,TSE,Computer Software
Where2Change: Change Request Localization for App Reviews,Zhang et al.,2021 ,journal,TSE,Computer Software
AccessiText: automated detection of text accessibility issues in Android apps,Alshayban and Malek,2022 ,conference,FSE,Software engineering
An empirical study on release notes patterns of popular apps in the Google Play Store,Yang et al.,2022 ,journal,EMSE,Computer Software
Analyzing User Perspectives on Mobile App Privacy at Scale,Nema et al.,2022 ,conference,ICSE,Software engineering
Better Identifying and Addressing Diverse Issues in mHealth and Emerging Apps Using User Reviews,Omar Haggag,2022 ,conference,EASE,Software engineering
Demystifying “removed reviews” in iOS app store,Wang et al.,2022 ,conference,FSE,Software engineering
Domain-Specific Analysis of Mobile App Reviews Using Keyword-Assisted Topic Models,Tushev et al.,2022 ,conference,ICSE,Software engineering
Emerging App Issue Identification via Online Joint Sentiment-Topic Tracing,Gao et al.,2022 ,journal,TSE,Computer Software
Erasing Labor with Labor: Dark Patterns and Lockstep Behaviors on Google Play,Singh et al.,2022 ,conference,Hypertext,Distributed Computing
Hark: A Deep Learning System for Navigating Privacy Feedback at Scale,Harkous et al.,2022 ,conference,SP,Cybersecurity and privacy
Hierarchical Bayesian multi-kernel learning for integrated classification and summarization of app reviews,Alshangiti et al.,2022 ,conference,FSE,Software engineering
Lighting up supervised learning in user review-based code localization: dataset and benchmark,Hu et al.,2022 ,conference,FSE,Software engineering
Listening to Users' Voice: Automatic Summarization of Helpful App Reviews,Gao et al.,2022 ,journal,TR,Computer Software
Mining User Feedback For Software Engineering: Use Cases and Reference Architecture,Dabrowski et al.,2022 ,conference,RE,Software engineering
Multi-source Heterogeneous User Generated Contents-driven Interactive Estimation of Distribution Algorithms for Personalized Search,Bao et al.,2022 ,journal,IEEE Transactions on Evolutionary Computation,Artificial Intelligence and Image Processing
On the Importance of Performing App Analysis Within Peer Groups,Hassan et al.,2022 ,conference,SANER,Software engineering
On the Violation of Honesty in Mobile Apps: Automated Detection and Categories,Obie et al.,2022 ,conference,MSR,Software engineering
"Prioritizing user concerns in app reviews—A study of requests for new features, enhancements and bug fixes",Malgaonkar et al.,2022 ,journal,Information and Software Technology,Computer Software
Proactive Prioritization of App Issues via Contrastive Learning,Fereidouni et al.,2022 ,conference,BigData,Data management and data science
Supporting Developers in Addressing Human-centric Issues in Mobile Apps,Khalajzadeh et al.,2022 ,journal,TSE,Computer Software
The Use of Pretrained Model for Matching App Reviews and Bug Reports,Wang et al.,2022 ,conference,QRS,Software engineering
Towards Automatically Localizing Function Errors in Mobile Apps with User Reviews,Yu et al.,2022 ,journal,TSE,Computer Software
Unsupervised Summarization of Privacy Concerns in Mobile Application Reviews,Ebrahimi and Mahmoud,2022 ,conference,ASE,Software engineering
User Perspectives and Ethical Experiences of Apps for Depression: A Qualitative Analysis of User Reviews,Bowie-DaBreo et al.,2022 ,conference,CHI,Human-centred computing
Where is Your App Frustrating Users?,Wang et al.,2022 ,conference,ICSE,Software engineering
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
